Organization,Country,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
Thoughtblab,Netherlands,Banking and Finance,Small,John Smith,4/20/2024,SAAS,Churned Customer,7,,,833,90,8/7/2024,6/27/2024
Jaxnation,Spain,Energy & Utilities,Small,Emily Johnson,5/28/2024,SAAS,Churned Customer,7,,,1623,30,10/25/2024,9/11/2024
Mybuzz,Italy,Education & Science,Small,Michael Brown,3/17/2024,SAAS,Churned Customer,7,,,1928,20,3/17/2025,5/11/2024
Kare,Germany,Government Administration Healthcare,Small,Michael Brown,1/18/2024,SAAS,Churned Customer,7,,,303,50,8/7/2024,5/6/2024
Skaboo,Germany,Energy & Utilities,Small,Michael Brown,4/6/2024,SAAS,Churned Customer,7,,,1911,30,10/11/2024,7/25/2024
Flashset,Germany,Transportation & Logistics,Small,Laura Thompson,2/21/2024,Custom solution,Churned Customer,7,,,455,20,9/23/2024,5/11/2024
Yozio,Belgium,IT & IT Services,Small,Laura Thompson,2/13/2024,SAAS,Churned Customer,7,,,351,30,3/18/2024,4/17/2024
Tanoodle,Switzerland,IT & IT Services,Small,Jessica Martinez,1/15/2024,Custom solution,Churned Customer,7,,,230,70,5/17/2024,5/11/2024
"Reilly, Wisozk and Stamm",France,Retail & Distribution,Small,Michael Brown,3/9/2024,SAAS,Churned Customer,7,,,1697,80,7/25/2024,6/30/2024
O'Conner-Sawayn,Switzerland,Transportation & Logistics,Small,Laura Thompson,4/1/2024,Services,Churned Customer,7,,,320,60,5/24/2024,7/1/2024
Klocko-Sporer,Germany,Agriculture & Mining,Small,Emily Johnson,2/12/2024,Custom solution,Churned Customer,7,,,721,20,1/10/2025,3/31/2024
Borer Inc,Italy,Transportation & Logistics,Small,Michael Brown,2/29/2024,Services,Churned Customer,7,,,768,80,8/18/2024,6/15/2024
"Jacobson, Crist and O'Kon",Austria,Government Administration Healthcare,Small,Kevin Anderson,4/11/2024,SAAS,Churned Customer,7,,,741,40,9/19/2024,5/13/2024
Hickle Inc,France,Professional Services  & Consulting,Small,Laura Thompson,1/23/2024,SAAS,Churned Customer,7,,,668,70,10/24/2024,4/19/2024
"Zulauf, Osinski and Lakin",Portugal,Banking and Finance,Small,Jessica Martinez,3/10/2024,Custom solution,Churned Customer,7,,,406,30,5/24/2024,5/6/2024
"Cruickshank, Lubowitz and Marquardt",Portugal,IT & IT Services,Small,Laura Thompson,4/12/2024,Services,Churned Customer,7,,,1686,40,5/6/2024,4/25/2024
Roberts-Glover,Portugal,Professional Services  & Consulting,Small,Michael Brown,3/15/2024,Services,Churned Customer,7,,,317,40,9/15/2024,7/13/2024
Bauch Group,Netherlands,Recreation & Sports,Small,Sarah Davis,1/17/2024,SAAS,Churned Customer,7,,,1813,40,3/28/2024,1/24/2024
"Reynolds, Kunze and Christiansen",Italy,Professional Services  & Consulting,Small,David Wilson,1/24/2024,Services,Churned Customer,7,,,1515,40,10/22/2024,2/3/2024
"Skiles, Koepp and Walter",Belgium,Transportation & Logistics,Small,Jessica Martinez,4/19/2024,SAAS,Churned Customer,7,,,1569,50,11/5/2024,5/21/2024
Hermiston and Sons,Germany,Agriculture & Mining,Small,Sarah Davis,5/6/2024,Custom solution,Churned Customer,7,,,405,40,4/9/2025,6/7/2024
Roberts-Stracke,Italy,Professional Services  & Consulting,Small,Laura Thompson,5/30/2024,SAAS,Churned Customer,7,,,1456,60,8/3/2024,6/6/2024
"Frami, Gerlach and Sporer",France,Professional Services  & Consulting,Small,David Wilson,5/7/2024,Services,Churned Customer,7,,,217,90,8/4/2024,8/22/2024
Schumm-Block,Netherlands,Banking and Finance,Small,Laura Thompson,2/28/2024,Services,Churned Customer,7,,,426,40,12/17/2024,4/10/2024
"Beahan, Nitzsche and Williamson",Italy,Banking and Finance,Small,Sarah Davis,4/25/2024,SAAS,Churned Customer,7,,,1846,60,4/19/2025,7/31/2024
"Bergstrom, Kling and Mayer",Italy,Retail & Distribution,Small,Michael Brown,4/19/2024,SAAS,Churned Customer,7,,,1515,40,1/25/2025,7/12/2024
"Stroman, Ritchie and Toy",Italy,Professional Services  & Consulting,Small,Sarah Davis,2/21/2024,Services,Churned Customer,7,,,1007,20,10/6/2024,4/1/2024
"Williamson, Smitham and Muller",Switzerland,Education & Science,Small,Kevin Anderson,5/3/2024,Services,Churned Customer,7,,,1895,80,2/20/2025,5/14/2024
Kub-Brown,France,Government Administration Healthcare,Small,Jessica Martinez,3/27/2024,Services,Churned Customer,7,,,748,50,8/30/2024,7/16/2024
Medhurst Group,Italy,Professional Services  & Consulting,Small,Michael Brown,1/5/2024,SAAS,Churned Customer,7,,,726,10,6/13/2024,3/20/2024
Murray-Lehner,Switzerland,Construction & Engineering,Small,Laura Thompson,2/12/2024,SAAS,Churned Customer,7,,,634,60,3/30/2024,2/27/2024
"McLaughlin, Effertz and Swift",Italy,Transportation & Logistics,Small,Laura Thompson,2/19/2024,Custom solution,Churned Customer,7,,,586,60,11/1/2024,6/13/2024
Shields LLC,Italy,Telecommunications,Small,Sarah Davis,5/13/2024,Services,Churned Customer,7,,,1936,20,12/17/2024,8/22/2024
Koch Group,Germany,Government Administration Healthcare,Small,Michael Brown,3/21/2024,Custom solution,Churned Customer,7,,,1620,40,8/24/2024,5/13/2024
Langosh Group,Belgium,Transportation & Logistics,Small,Kevin Anderson,2/4/2024,SAAS,Churned Customer,7,,,287,10,12/5/2024,2/14/2024
"Wiegand, Friesen and Ortiz",Austria,Banking and Finance,Small,Jessica Martinez,5/15/2024,Custom solution,Churned Customer,7,,,1828,50,10/7/2024,8/29/2024
Ward-Schinner,Italy,Recreation & Sports,Small,Laura Thompson,2/15/2024,SAAS,Churned Customer,7,,,453,40,12/3/2024,4/26/2024
"Kub, Hintz and Simonis",France,Education & Science,Small,Laura Thompson,3/30/2024,Services,Churned Customer,7,,,835,70,8/14/2024,5/23/2024
Greenfelder-Klocko,Switzerland,Transportation & Logistics,Small,Jessica Martinez,2/27/2024,SAAS,Churned Customer,7,,,1924,30,3/19/2024,6/18/2024
"Rice, Walker and Hermiston",Italy,Banking and Finance,Small,Emily Johnson,1/17/2024,SAAS,Churned Customer,7,,,1020,20,5/31/2024,3/26/2024
"Frami, Brekke and Crooks",Austria,Energy & Utilities,Small,David Wilson,4/30/2024,SAAS,Churned Customer,7,,,543,30,6/21/2024,7/12/2024
"Cassin, Windler and Friesen",Switzerland,Construction & Engineering,Small,Laura Thompson,3/28/2024,SAAS,Churned Customer,7,,,1984,20,12/31/2024,5/29/2024
"Greenfelder, O'Reilly and Dietrich",Portugal,Banking and Finance,Small,Emily Johnson,1/19/2024,SAAS,Churned Customer,7,,,349,50,4/22/2024,2/7/2024
"Kris, Brekke and Gulgowski",Switzerland,Telecommunications,Small,Michael Brown,1/7/2024,SAAS,Churned Customer,7,,,1790,90,12/14/2024,2/13/2024
Adams and Sons,Germany,Transportation & Logistics,Small,Michael Brown,2/13/2024,SAAS,Churned Customer,7,,,1606,40,11/1/2024,5/9/2024
"Kunze, O'Reilly and Von",Switzerland,Retail & Distribution,Small,Laura Thompson,4/8/2024,SAAS,Churned Customer,7,,,716,40,3/11/2025,7/13/2024
Rempel and Sons,Germany,Transportation & Logistics,Small,David Wilson,1/25/2024,SAAS,Churned Customer,7,,,1883,20,10/13/2024,4/17/2024
Smitham-Sipes,Italy,Banking and Finance,Small,Laura Thompson,1/6/2024,Services,Churned Customer,7,,,233,10,11/12/2024,2/10/2024
Krajcik-Tromp,Italy,Manufacturing & Production,Small,Laura Thompson,5/6/2024,SAAS,Churned Customer,7,,,854,60,12/28/2024,8/10/2024
"Gusikowski, Erdman and Ryan",Italy,Education & Science,Small,Jessica Martinez,5/21/2024,Services,Churned Customer,7,,,1249,80,3/17/2025,6/29/2024
"Renner, Bashirian and Lind",Switzerland,Construction & Engineering,Small,Laura Thompson,3/21/2024,SAAS,Churned Customer,7,,,1125,30,4/12/2024,6/2/2024
"Spencer, Jerde and Green",Switzerland,Entertainment & Media & Hospitality,Small,John Smith,5/27/2024,SAAS,Churned Customer,7,,,1411,40,3/23/2025,8/29/2024
Maggio-Reynolds,France,Government Administration Healthcare,Small,Kevin Anderson,2/3/2024,SAAS,Churned Customer,7,,,1503,30,1/3/2025,4/19/2024
Blognation,Germany,Banking and Finance,Micro,Kevin Anderson,5/31/2024,Custom solution,Churned Customer,7,,,206,80,10/10/2024,6/17/2024
Dablist,Germany,IT & IT Services,Micro,Kevin Anderson,1/11/2024,SAAS,Churned Customer,7,,,956,100,4/26/2024,3/7/2024
Meedoo,Netherlands,Transportation & Logistics,Micro,Michael Brown,4/9/2024,SAAS,Churned Customer,7,,,668,40,9/5/2024,4/27/2024
Runte Group,Austria,Retail & Distribution,Micro,Kevin Anderson,5/8/2024,Services,Churned Customer,7,,,721,30,2/22/2025,7/20/2024
VonRueden Inc,Germany,Transportation & Logistics,Micro,Laura Thompson,3/3/2024,Services,Churned Customer,7,,,320,20,10/21/2024,3/23/2024
Treutel-Willms,Italy,Banking and Finance,Micro,David Wilson,5/17/2024,Custom solution,Churned Customer,7,,,1074,90,12/21/2024,8/15/2024
"Medhurst, Weber and Waters",Italy,Construction & Engineering,Micro,John Smith,2/15/2024,SAAS,Churned Customer,7,,,480,70,2/7/2025,5/13/2024
Hansen LLC,Spain,Professional Services  & Consulting,Micro,Laura Thompson,1/5/2024,Services,Churned Customer,7,,,392,20,1/26/2024,3/13/2024
Bechtelar-Heidenreich,Italy,Banking and Finance,Micro,Michael Brown,3/25/2024,Services,Churned Customer,7,,,846,40,8/27/2024,6/2/2024
"Rosenbaum, Breitenberg and Langworth",Switzerland,IT & IT Services,Micro,Emily Johnson,4/30/2024,SAAS,Churned Customer,7,,,968,50,1/24/2025,8/3/2024
Kunde Group,Spain,Agriculture & Mining,Micro,Laura Thompson,1/4/2024,Services,Churned Customer,7,,,1068,40,11/12/2024,3/18/2024
Abernathy and Sons,France,Agriculture & Mining,Micro,Laura Thompson,3/27/2024,Services,Churned Customer,7,,,617,30,12/2/2024,4/1/2024
"Erdman, Wilkinson and Stracke",Germany,Banking and Finance,Micro,Kevin Anderson,1/4/2024,Services,Churned Customer,7,,,888,30,5/8/2024,2/4/2024
"Bogisich, Denesik and Crona",Spain,IT & IT Services,Micro,Michael Brown,4/15/2024,Custom solution,Churned Customer,7,,,364,30,5/29/2024,8/12/2024
